Topic,Query
Labor,I was fired from my job without cause. Can you help me get my job back or get compensation for my wrongful termination?
Labor,My employer is not paying me overtime wages. Can you help me collect the wages I am owed?
Labor,"I have been discriminated against at my job because of my race, gender, age, or disability. Can you help me file a discrimination complaint?"
Labor,I was injured at work. Can you help me file a workers' compensation claim?
Labor,I am a union member and I believe my union is not representing me properly. Can you help me file a grievance against my union?
Labor,I am a non-immigrant worker and I believe my employer is exploiting me. Can you help me file a complaint with the Department of Labor?
Labor,I am an independent contractor and I believe my client is not paying me fairly. Can you help me draft a contract that protects my rights?
Labor,I am a business owner and I need help developing a company handbook that complies with all labor laws. Can you help me?
Labor,I am a human resources manager and I need help understanding the latest labor laws. Can you provide me with some training?
Labor,I am a mediator and I need help resolving a labor dispute between two of my clients. Can you help me?
Consumer Protection,I purchased a product that is defective and the manufacturer is refusing to refund my money. Can you help me get my money back?
Consumer Protection,I was scammed by a fraudulent business. Can you help me get my money back and press charges against the scammers?
Consumer Protection,I was misled by a deceptive marketing campaign. Can you help me file a complaint with the Federal Trade Commission?
Consumer Protection,I was injured by a dangerous product. Can you help me file a product liability lawsuit?
Consumer Protection,I have a problem with a debt collector. Can you help me negotiate with the debt collector or file a complaint with the Consumer Financial Protection Bureau?
Consumer Protection,I have been denied credit or insurance because of my credit history. Can you help me dispute the inaccurate information on my credit report?
Consumer Protection,I have been harassed by a telemarketer. Can you help me register my phone number on the National Do Not Call Registry?
Consumer Protection,I have been contacted by a scam artist who is trying to steal my identity. Can you help me protect my identity and report the scam to the proper authorities?
Consumer Protection,I am a business owner and I need help developing a compliance program to ensure that my business is complying with all consumer protection laws. Can you help me?
Consumer Protection,I am a consumer advocate and I need help educating consumers about their rights. Can you provide me with some resources?
Corporate,I am starting a new business and I need help forming a business entity. Can you help me?
Corporate,I need help drafting and negotiating contracts for my business. Can you help me?
Corporate,I need help protecting my business's intellectual property. Can you help me?
Corporate,I am in a dispute with another business. Can you help me negotiate a settlement or file a lawsuit?
Corporate,I need help complying with all corporate laws and regulations. Can you help me?
Corporate,I am raising capital for my business. Can you help me negotiate investment terms and draft investment documents?
Corporate,I am selling my business. Can you help me negotiate the sale price and draft the sale agreement?
Corporate,I am a member of a board of directors and I need help understanding my legal duties and responsibilities. Can you provide me with some training?
Corporate,I am a corporate executive and I need help making sound legal decisions for my company. Can you provide me with legal counsel?
Corporate,I am a corporate lawyer and I need help staying up-to-date on the latest corporate laws and regulations. Can you provide me with some resources?
Criminal,"I was recently arrested for drug possession. I'm not guilty, but I'm scared and don't know what to do. Can you help me?"
Criminal,"I was assaulted by a coworker, and the police have charged him with a crime. I want to make sure he is held accountable for his actions. Can you represent me in this case?"
Criminal,I was accused of a crime that I didn't commit. I was wrongfully convicted and served time in prison. I want to clear my name and get compensation for the time I lost. Can you help me?
Criminal,"I was the victim of a crime, and the perpetrator was never caught. I want to explore my legal options for getting justice. Can you advise me?"
Criminal,I'm being investigated for a crime that I didn't commit. I'm worried that I could be arrested and charged. Can you represent me and protect my rights?
Intellectual Property,"I have a new product that I'm developing, and I want to make sure that it is protected by intellectual property law. Can you help me obtain a patent or trademark?"
Intellectual Property,My company's intellectual property has been infringed upon. We want to take legal action against the infringer. Can you represent us in this case?
Intellectual Property,"I'm a creative professional, and I need help negotiating contracts with clients and protecting my work from copyright infringement. Can you provide legal advice and representation?"
Intellectual Property,I'm interested in starting a business that sells products or services that are protected by intellectual property law. Can you advise me on how to do this in a way that protects my rights?
Intellectual Property,"I'm being sued for intellectual property infringement. I believe that the claims against me are unfounded, and I need help defending myself in court. Can you represent me?"
Tax,"I'm starting a new business, and I need help setting up my tax structure and minimizing my tax liability. Can you provide tax planning and advisory services?"
Tax,"I'm being audited by the IRS. I'm not sure what to expect, and I'm worried about making a mistake. Can you represent me and help me through the audit process?"
Tax,"I received a tax bill that I believe is incorrect. I want to dispute the bill, but I don't know how to do it on my own. Can you help me?"
Tax,I'm facing tax penalties and interest. I want to negotiate with the IRS to reduce my debt. Can you represent me in these negotiations?
Tax,I'm considering filing for bankruptcy. I'm concerned about the tax implications of bankruptcy. Can you advise me on how to best protect my rights?
Civil,I was injured in a car accident and the other driver's insurance company is refusing to pay my medical bills. Can you help me file a lawsuit?
Civil,My landlord is illegally evicting me from my apartment. Can you represent me in court?
Civil,I was discriminated against at work because of my race/gender/disability. Can you help me file a complaint with the Equal Employment Opportunity Commission (EEOC)?
Civil,I was the victim of fraud. Can you help me get my money back?
Civil,I was injured by a defective product. Can you help me file a product liability lawsuit?
Civil,I was the victim of medical malpractice. Can you help me file a lawsuit against the doctor or hospital?
Civil,I am being sued by a creditor. Can you help me defend myself in court?
Civil,I am being sued by my ex-spouse for child support/alimony. Can you represent me in court?
Civil,I am being sued by my neighbor for a property dispute. Can you represent me in court?
Civil,I am being sued by my employer for breach of contract. Can you represent me in court?
Human Rights,I have been arrested and detained without charge. Can you help me get released?
Human Rights,I have been tortured or abused by the police. Can you help me file a complaint?
Human Rights,I have been discriminated against because of my race/religion/ethnicity/gender/sexual orientation. Can you help me file a complaint?
Human Rights,I have been denied access to education/healthcare/employment. Can you help me enforce my rights?
Human Rights,I have been displaced from my home by conflict or disaster. Can you help me get access to food/water/shelter?
Human Rights,I am a refugee or asylum seeker. Can you help me apply for asylum or refugee status?
Human Rights,I have been the victim of trafficking in persons. Can you help me get help and support?
Human Rights,I have been detained in an immigration detention center. Can you help me get released?
Human Rights,I am being denied the right to a fair trial. Can you help me enforce my rights?
Human Rights,I am being persecuted by my government for my political beliefs. Can you help me get asylum in another country?
Family,I am getting divorced and need help with child custody and visitation.
Family,I am getting divorced and need help with property division and alimony.
Family,I am getting divorced and need help with child support.
Family,I am going through a parenting dispute with my ex-partner. Can you help me resolve the dispute?
Family,I am trying to adopt a child. Can you help me with the adoption process?
Family,"I am trying to get a divorce, but my spouse is missing. Can you help me get a divorce by publication?"
Family,"I am trying to get a divorce, but my spouse is refusing to cooperate. Can you help me get a default divorce?"
Family,"I am trying to get a divorce, but my spouse is living in another country. Can you help me get an international divorce?"
Family,I am trying to get a prenuptial agreement. Can you help me draft and negotiate the agreement?
Family,I am trying to get a postnuptial agreement. Can you help me draft and negotiate the agreement?
Real Estate,"I am thinking of buying a house, what are the legal things I need to keep in mind?"
Real Estate,"I am having a dispute with my neighbor over our property line, what are my options?"
Real Estate,"I am a landlord and I have a tenant who is not paying their rent, what can I do?"
Real Estate,"I am a tenant and I am being evicted, what are my rights?"
Real Estate,"I want to start a real estate business, what are the legal requirements?"
Real Estate,"I am interested in investing in real estate, what are some of the risks and rewards?"
Real Estate,"I am having a dispute with a contractor over a home improvement project, what can I do?"
Real Estate,"I am thinking of selling my house, what are some of the tax implications?"
Real Estate,"I am inheriting a house from a relative, what are the legal steps I need to take?"
Real Estate,"I am going through a divorce and I need to divide our marital assets, how does that work with real estate?"
Constitutional,"I believe my rights have been violated by the government, what can I do?"
Constitutional,"I am being discriminated against, what are my legal options?"
Constitutional,"I am a free speech advocate and I am concerned about government censorship, what can I do to protect my rights?"
Constitutional,"I am a gun rights advocate and I am concerned about government restrictions on firearms, what can I do to protect my rights?"
Constitutional,"I am a religious freedom advocate and I am concerned about government interference with religious expression, what can I do to protect my rights?"
Constitutional,"I am a privacy advocate and I am concerned about government surveillance, what can I do to protect my rights?"
Constitutional,"I am a civil liberties advocate and I am concerned about government overreach, what can I do to protect my rights?"
Constitutional,"I am a voting rights advocate and I am concerned about voter suppression, what can I do to protect my right to vote?"
Constitutional,"I am a criminal justice reform advocate and I am concerned about mass incarceration and racial disparities in the criminal justice system, what can I do to make a difference?"
Constitutional,"I am a climate change activist and I am concerned about government inaction on climate change, what can I do to hold the government accountable?"
Media,"I am a journalist and I am being harassed or threatened by the government or other powerful actors, what are my rights?"
Media,"I am a filmmaker and I am concerned about government censorship of my work, what can I do to protect my rights?"
Media,"I am a social media user and I am concerned about government surveillance of my online activity, what can I do to protect my privacy?"
Media,"I am a copyright holder and I am concerned about copyright infringement online, what can I do to protect my intellectual property?"
Media,"I am a defamation victim and I am considering filing a lawsuit, what are my options?"
Media,"I am a public figure and I am being subjected to intense media scrutiny, what are my rights?"
Media,"I am a celebrity and I am concerned about paparazzi harassment, what can I do to protect my privacy?"
Media,"I am a business owner and I am concerned about negative media coverage of my business, what can I do to respond?"
Media,"I am a consumer and I am concerned about misleading advertising, what can I do to protect myself?"
Media,"I am a victim of cyberbullying and I am considering filing a lawsuit, what are my options?"
Entertainment,I am an actor who has been signed to a new talent agency. I need a lawyer to review my contract and make sure that my interests are protected.
Entertainment,I am a musician who is writing a new album. I need a lawyer to help me copyright my songs and protect my intellectual property.
Entertainment,"I am a producer who is developing a new TV show. I need a lawyer to help me negotiate contracts with my cast and crew, and to protect my copyrights and trademarks."
Entertainment,I am a writer who is publishing my first novel. I need a lawyer to help me negotiate my book contract and to protect my copyrights.
Entertainment,I am a social media influencer who is partnering with a new brand. I need a lawyer to review my contract and make sure that my interests are protected.
Medical,I have been injured in a medical malpractice incident. I need a lawyer to help me file a lawsuit against the negligent healthcare provider.
Medical,I have been denied coverage by my health insurance company for a necessary medical procedure. I need a lawyer to help me appeal the denial and to get the coverage that I need.
Medical,I have been the victim of a defective medical device. I need a lawyer to help me file a lawsuit against the manufacturer of the device.
Medical,I have been wrongfully diagnosed with a medical condition. I need a lawyer to help me file a lawsuit against the doctor who misdiagnosed me.
Medical,I have been the victim of a pharmaceutical error. I need a lawyer to help me file a lawsuit against the pharmacy or drug manufacturer that made the mistake.
Immigration,I am a foreign national who wants to immigrate to the United States. I need a lawyer to help me file the necessary paperwork and to navigate the complex immigration system.
Immigration,I am a green card holder who wants to become a US citizen. I need a lawyer to help me file the naturalization application and to prepare for the citizenship interview.
Immigration,I am a US citizen who is sponsoring my spouse or child for a green card. I need a lawyer to help me file the necessary paperwork and to navigate the immigration process.
Immigration,I am an immigrant who has been detained by Immigration and Customs Enforcement (ICE). I need a lawyer to help me fight my deportation and to get released from detention.
Immigration,I am an immigrant who has been denied an immigrant visa or green card. I need a lawyer to help me appeal the decision and to get the approval that I need.
Environmental,I am a company that is developing a new renewable energy project. I need help with the regulatory process and obtaining the necessary permits.
Environmental,I am a landowner who has been approached by a company that wants to build a pipeline on my property. I need help understanding my rights and negotiating a fair lease agreement.
Environmental,I am a community group that is concerned about the environmental impact of a proposed new development. We need help advocating for our interests and ensuring that the developer complies with all applicable environmental laws and regulations.
Environmental,I am a business owner who has been fined by the EPA for violating environmental regulations. I need help challenging the fine and understanding my compliance obligations.
Environmental,I am a homeowner who has discovered that my property is contaminated with hazardous waste. I need help cleaning up the contamination and recovering my damages from the responsible party.
Finance,I am a company that is seeking financing for a new environmental project. I need help structuring the deal and finding investors.
Finance,I am a renewable energy developer who is looking to attract investors for my new project. I need help creating a business plan and marketing pitch.
Finance,I am a bank that is considering financing a new environmental project. I need help assessing the risks and rewards of the investment.
Finance,I am an investor who is interested in investing in environmental projects. I need help identifying and evaluating investment opportunities.
Finance,I am a company that is developing a new financial product related to environmental sustainability. I need help with the legal and regulatory aspects of launching the product.
Banking,I am a company that is seeking financing for a new environmental project. I need help identifying and applying for loans and grants.
Banking,I am a bank that is considering financing a new environmental project. I need help assessing the risks and rewards of the investment and structuring the deal.
Banking,I am a company that has been denied financing for an environmental project. I need help understanding the reasons for the denial and appealing the decision.
Banking,I am a company that is experiencing financial difficulties due to environmental compliance costs. I need help developing a turnaround plan and negotiating with lenders.
Banking,I am a bank that is considering offering new financial products related to environmental sustainability. I need help with the legal and regulatory aspects of launching the products.
